name,time,eth_dst,eth_src,ip_dst,ip_proto,ip_src,payload,proto,switch
blocked,1653210863589986048,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,81.58.192.69,160,tcp,0000000000000001
blocked,1653210863590408192,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,84.181.118.69,160,tcp,0000000000000001
blocked,1653210863590835968,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,175.71.162.218,160,tcp,0000000000000001
blocked,1653210863591232000,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,178.157.254.205,160,tcp,0000000000000001
blocked,1653210863591649024,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,16.106.30.71,160,tcp,0000000000000001
blocked,1653210863592088064,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,242.147.180.154,160,tcp,0000000000000001
blocked,1653210863592436992,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,41.199.161.80,160,tcp,0000000000000001
blocked,1653210863592819968,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,6.251.38.230,160,tcp,0000000000000001
blocked,1653210863593272832,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,31.207.47.197,160,tcp,0000000000000001
blocked,1653210863593671936,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,240.1.3.167,160,tcp,0000000000000001
blocked,1653210863594046976,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,0.30.47.54,160,tcp,0000000000000001
blocked,1653210863594417152,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,216.57.180.125,160,tcp,0000000000000001
blocked,1653210863594799104,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,227.245.12.235,160,tcp,0000000000000001
blocked,1653210863595181056,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,251.69.77.23,160,tcp,0000000000000001
blocked,1653210863595577088,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,75.32.200.105,160,tcp,0000000000000001
blocked,1653210863595943936,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,36.76.233.19,160,tcp,0000000000000001
blocked,1653210863596327936,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,109.105.3.234,160,tcp,0000000000000001
blocked,1653210863596707072,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,71.109.234.26,160,tcp,0000000000000001
blocked,1653210863597075968,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,96.81.117.55,160,tcp,0000000000000001
blocked,1653210863597487872,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,223.36.58.245,160,tcp,0000000000000001
blocked,1653210863597908992,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,105.6.251.34,160,tcp,0000000000000001
blocked,1653210863598332928,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,84.97.6.71,160,tcp,0000000000000001
blocked,1653210863598754048,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,44.180.160.139,160,tcp,0000000000000001
blocked,1653210863599170816,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,72.240.20.21,160,tcp,0000000000000001
blocked,1653210863599579136,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,80.50.58.106,160,tcp,0000000000000001
blocked,1653210863599939072,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,18.84.229.149,160,tcp,0000000000000001
blocked,1653210863600295936,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,15.205.118.12,160,tcp,0000000000000001
blocked,1653210863600663040,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,130.45.71.196,160,tcp,0000000000000001
blocked,1653210863601083136,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,30.217.157.147,160,tcp,0000000000000001
blocked,1653210863601505024,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,105.54.180.193,160,tcp,0000000000000001
blocked,1653210863601933056,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,55.228.87.45,160,tcp,0000000000000001
blocked,1653210863602336000,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,44.71.178.130,160,tcp,0000000000000001
blocked,1653210863602711040,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,245.127.20.82,160,tcp,0000000000000001
blocked,1653210863603092992,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,143.46.245.2,160,tcp,0000000000000001
blocked,1653210863603518976,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,1.156.100.18,160,tcp,0000000000000001
blocked,1653210863603910912,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,207.157.197.33,160,tcp,0000000000000001
blocked,1653210863604291840,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,81.203.69.104,160,tcp,0000000000000001
blocked,1653210863604681984,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,21.234.194.115,160,tcp,0000000000000001
blocked,1653210863605081088,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,125.22.54.81,160,tcp,0000000000000001
blocked,1653210863605467136,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,108.108.152.132,160,tcp,0000000000000001
blocked,1653210863605846016,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,34.72.81.58,160,tcp,0000000000000001
blocked,1653210863606213120,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,118.118.161.191,160,tcp,0000000000000001
blocked,1653210863606607872,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,240.228.2.155,160,tcp,0000000000000001
